,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
0,那個憨女人有什麼值得送的，正鵬這個人也真是的！,左母,disgust,0,0
1,哎喲，老婆子，你怎麼盡講那些不利於團結的話呢！他去送送他的同學也在情理之中嘛！,左父,surprise,0,1
2,爸、媽，我回來啦！,左正鵬,neutral,0,2
3,我怕你喝了迷魂湯，魂被你那個憨同學勾引去了！,左母,disgust,0,3
4,老婆子，看你講話像個母親說的嗎！你怎麼老是反對他們倆的事呢？,左父,surprise,0,4
5,爸、媽，你們都不要講了。這件事我自己有主見的，我知道自己該怎麼去做，不應該怎麼不去做。決不會胡來的，請您們放心好了！,左正鵬,neutral,0,5
6,正鵬哥，聽村上人講昨天你娶了個嫂子？,堂弟,surprise,1,0
7,是我的同學來我家玩玩，你不要聽他們亂說，這些人眼光淺，愛說閒話的。,左正鵬,disgust,1,1
8,正鵬哥，你倆有沒有那意思呀？就是有意思也沒問題吧！你反正遲早要娶媳婦的。,堂弟,neutral,1,2
9,哎呀，堂弟，沒有的。我是那號人嗎？我倆是同學！同學之間只是互相走走的事嘛！,左正鵬,neutral,1,3
10,媽，今天是星期天我想去趕下集，可能下午才能回家，有什麼事就別等我！,左正鵬,neutral,2,0
11,去趕集？你別騙我！你是想去那個憨同學家我還不知道嗎？,左母,angry,2,1
12,我是想去麗華同學家裏一下。,左正鵬,neutral,2,2
13,正鵬，你要給她的父母買點禮物啊！在她家裏也不要亂說話，要注意禮貌。,左父,neutral,2,3
14,爸，我會注意的，你放心！,左正鵬,neutral,2,4
15,伯母、您好，我是你麗華的同學呀！,左正鵬,joy,3,0
16,小左，快請進，屋裏坐！屋裏坐！我早就聽到閨女講到你的情況，我們歡迎你呀！,徐母,joy,3,1
17,老伴，你到代銷店裏去買瓶酒來，什麼“清明露”的都行。快去快回啊！,徐母,neutral,3,2
18,正鵬，今天我父母說的話你都聽清楚了嗎？現在你應該向我表個明確的態纔好！,徐麗華,neutral,4,0
19,向你表個什麼明確的態？,左正鵬,neutral,4,1
20,正鵬，你還裝朦朧是嗎？你還是不是男子漢？,徐麗華,angry,4,2
21,麗華，“五·四”那天，我們公社開慶祝大會。上午九點前我在公社門前公路邊等你，你不要失約，到時我倆再說吧！,左正鵬,neutral,4,3
22,這麼簡單的事情，你爲什麼非得那天回答我？你真是婆婆媽媽的。,徐麗華,disgust,4,4
23,麗華呀！希你對我還要作更進一步地瞭解。切莫感情用事，婚姻問題是自己人生的大問題，一旦處理不好會給自己帶來終生的痛苦！,左正鵬,neutral,4,5
24,正鵬，我父母表示沒意見，我自己也吃下了定心丸。我願意嫁給你。,徐麗華,neutral,4,6
25,麗華，可你還得考慮下我的百分之五十呀！,左正鵬,neutral,4,7
26,麗華，小左，你倆快回去，你爸爸喝醉了，在家裏鬧酒。酒席早被他掀翻了，現在又在使勁地砸東西，“大鬧天空”。,徐母,surprise,4,8
27,是嗎，舊的不爛，新的不會來嘛！我還要繼續砸呢！,徐父,angry,5,0
28,我怎麼不敢，你別小看我！你認爲我是一般的人嗎？,徐父,angry,5,1
29,爸，你在幹什麼呀，你怎麼這樣傻呀，廚屋裏的東西被你砸爛完了，明天媽媽怎麼做炊呢？,徐麗華,disgust,5,2
30,誰說我傻呀，“酒醉聰明人，飯脹癡呆子”，你懂嗎？,徐父,neutral,5,3
31,伯父，你快到牀上去躺着，休息下啊！,左正鵬,surprise,5,4
32,小左，你還在這裏沒有走？你聽說嗎“酒中無語真君子，財上分明大丈夫”。我不是“真君子”，你是我閨女的“大丈夫”。哈哈！哈哈！大丈夫，“真君子”都是好人嘍。,徐父,joy,5,5
33,明天你自己做飯，反正廚屋裏沒有炊具啦！,徐母,disgust,5,6
34,我還要忠告你們：“做官莫向前，作客莫在後”，這是“增廣賢文”書上說的！你們知道嗎？,徐父,neutral,5,7
35,正鵬，今天你到那個憨同學家裏，她父母跟你說了些什麼？她自己呢？,左母,surprise,6,0
36,媽，我今天去她家裏只作同學之間的正常往來，誰知道她的父母把我看成和她女兒在談戀愛。她女兒還明確表態要嫁給我，我表態不接受她。我答應她在“五·四”那天再講！,左正鵬,neutral,6,1
37,傻孩子，別人女孩子既然找上門來了，這是求之不得的好,左母,surprise,6,2
38,媽，請您彆着急，讓我認真地再考慮下。,左正鵬,neutral,6,3
39,還考慮什麼，村裏比你還小的後生家都當爸爸了，你還認爲自己還小是嗎？我同意你媽媽的意見，就這麼定下啦！,左父,neutral,7,0
