,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
7117,媽。,張心,fear,1101,0
7118,真是丟臉！丟臉！,宋喬,angry,1101,1
7119,媽，你別太生氣，事情已經這樣了，你再生氣也沒用。當心身體。,陳子明,neutral,1101,2
7120,孩子真是劉輝的？,張愛,surprise,1102,0
7121,沒聽到我剛纔說嗎？還問！,張心,disgust,1102,1
7122,你怎麼可以這樣呢？,張愛,angry,1102,2
7123,怎麼？生氣啦？我破壞了你的幸福，現在特恨我是吧？,張心,angry,1102,3
7124,我不是恨你，只是覺得你這樣做對我和子明太不公平了。,張愛,sadness,1102,4
7125,公平？什麼叫公平？我所受的一切就公平嗎？我又做錯了什麼？爲什麼要這樣對我？,張心,angry,1102,5
7126,這一切都是你自己造成的，你能怪誰啊？,張愛,angry,1102,6
7127,是！是我自己造成的！我誰也怪不了，要怪也只能怪我自己。所以我不是沒說什麼嘛？,張心,angry,1102,7
7128,算了，事情都已經過去了，我也不想追究了。不要讓爸知道。,張愛,sadness,1102,8
7129,還用你教我？你以爲只有你懂得孝順啊？切！你以爲你自己是救世主啊？什麼都比別人懂得多。,張心,angry,1102,9
7130,我沒心情在這跟你吵。我去看看媽。,張愛,disgust,1102,10
7131,騙子！,張心,angry,1103,0
7132,你說什麼呢？誰是騙子？,陳子明,surprise,1103,1
7133,還能說誰？還什麼我保證不會告訴爸媽，現在呢？媽還不是知道了？你明明答應過我，只告訴她的，爲什麼還要讓媽也知道？,張心,angry,1103,2
7134,爲什麼要瞞着？大家都有權知道。這對大家都是個欺騙，對大家都不公平。,陳子明,angry,1103,3
7135,那你的意思是還要告訴你爸媽，還有所有不知道這事的人這纔算公平了？那乾脆把這事弄成宣傳單貼到大街上去嘛！這樣就公平了，不是嗎？,張心,angry,1103,4
7136,你不要這麼蠻不講理好不好？,陳子明,disgust,1103,5
7137,好！我蠻不講理，行了吧？你們都是好人，只有我是壞人！現在，我這個壞人就消失，讓你們眼不見爲淨！,張心,angry,1103,6
7138,你想幹嘛？,陳子明,surprise,1104,0
7139,走人啊！這樣，我這個壞人就不會防礙你們了，你們也就可以安安心心地過日子了，天下也就太平了。,張心,angry,1104,1
7140,你非要這樣嗎？非要這樣弄得大家都不安寧你才甘心嗎？,陳子明,disgust,1104,2
7141,什麼叫我把大家弄得都不安生？說話注意點！你們認爲我是壞人，我不講道理，好哇！我走就是了！有什麼了不起的！,張心,angry,1104,3
7142,你走我不攔你，可是，必須離了婚你才能走！,陳子明,angry,1104,4
7143,你做夢！我是不會跟你離婚的！,張心,angry,1104,5
7144,你放手！,張心,angry,1105,0
7145,不放！除非你答應我！,陳子明,angry,1105,1
7146,我叫你放手！,張心,angry,1105,2
7147,哼！別裝模作樣的了，就知道裝好人！別人相信你，我可不會上你的當！,張心,angry,1106,0
7148,不管你對我有什麼意見，但我請你不要再鬧了！家裏已經夠亂的了。,張愛,disgust,1106,1
7149,繼續！繼續！說得真好！真有道理！繼續說啊！,張心,angry,1106,2
7150,你到底想怎麼樣？怎麼樣你纔會甘心？,張愛,angry,1106,3
7151,我要你滾！你走了我就甘心了，你走了就太平了！只要你走了，一切都不會發生，大家都會沒事的！,張心,angry,1106,4
7152,你瘋夠了沒有？我看你真是需要進精神病院了！瘋話說夠了，你要走就走吧！沒人攔你！,陳子明,angry,1106,5
7153,真行啊！這麼快就統一戰線啦？好！如你所願！祝你們百年好合，白頭到老！哼！,張心,angry,1106,6
7154,唉。,張愛,sadness,1107,0
7155,隨她去吧！誰也管不了她的！,陳子明,angry,1107,1
7156,可是。,張愛,neutral,1107,2
7157,現在最重要的是爸和媽。沒時間管她，讓她鬧吧！看她能鬧到什麼時候。,陳子明,neutral,1107,3
7158,跟上前面那輛車。,張心,neutral,1108,0
7159,好。,司機,neutral,1108,1
7160,他到這來幹什麼？,張心,surprise,1109,0
7161,搞什麼鬼？怎麼跑到菜市場批發貨？快！跟上！,張心,angry,1109,1
7162,好。,司機,neutral,1109,2
7163,你們先回去。我跟上。,胡永成,neutral,1110,0
7164,是。,同事,neutral,1110,1
7165,後面的出租車好像跟着咱們。,甲,fear,1111,0
7166,快！跟上啊！人都跑了！,張心,surprise,1111,1
7167,小姐！這是紅燈！我可沒他們那本事！,司機,surprise,1111,2
7168,唉呀！真是的。又讓他跑掉了！,張心,angry,1111,3
7169,頭兒！怎麼樣了？有結果沒？,甲,surprise,1112,0
7170,讓他們跑掉了！,胡永成,angry,1112,1
7171,啊？怎麼會跑掉了？,甲,surprise,1112,2
7172,光是我跟，還有一輛車也跟着，好像他們發現了，甩掉了我們。,胡永成,angry,1112,3
7173,還有一輛車也跟着？是誰啊？,乙,surprise,1112,4
7174,我怎麼知道？反正，現在24小時派人監控他的一舉一動，千萬不能鬆懈。,胡永成,neutral,1112,5
7175,是！,甲,neutral,1112,6
7176,是。,手下,neutral,1113,0
7177,怎麼回事？奶粉？,劉輝,surprise,1113,1
7178,是。,手下,neutral,1114,0
7179,恩。很好。趕快把貨都弄出來收好。,陳世家,joy,1114,1
7180,是。,手下,neutral,1114,2
7181,誰？,陳世家,surprise,1115,0
7182,小輝。,手下,neutral,1115,1
7183,小輝？你躲在這幹什麼？,陳世家,surprise,1115,2
7184,我。我。,劉輝,fear,1115,3
7185,你都看見什麼啦？,陳世家,neutral,1115,4
7186,我。我。我什麼都沒看見！,劉輝,fear,1115,5
7187,呵呵！真的什麼都沒看見？,陳世家,joy,1115,6
